,Filename,Sentences_separated
10,Wizard-Lesson 18-18.wma,"Conversation  Lesson 18
-separator-
Was there a car in the parking lot?
Yes, there was. There was a car in the parking lot.
-separator-
Are there a lot of calories in this chocolate cake?
Yes, there are. There are a lot of calories in this chocolate cake.
There are a lot of calories in this chocolate cake.
There are a lot of calories in this chocolate cake.
There are a lot of calories in this chocolate cake.
There are a lot of calories in this chocolate cake?
Yes, there are. There are a lot of calories in this chocolate cake.
-separator-
Are there snacks at the cafeteria?
No, there aren't. There aren't any snacks at the cafeteria.
-separator-
Are there socks in the drawer?
No, there aren't. There aren't socks in the drawer.
-separator-
Are there many Brazilians at that university?
Yes, there are. There are many Brazilians at that university.
-separator-
Were there a lot of cars in the parking lot?
Yes, there were. There were a lot of cars in the parking lot.
-separator-
Were there many people at the airport?
No, there weren't. There weren't many people at the airport.
-separator-
Were there napkins on the table?
No, there were. There were a lot of kids at the swimming pool.
-separator-
Were there a lot of fish in the river?
Yes, there were.
-separator-
Were there a lot of children at the swimming pool?
Yes, there were.
Were there a lot of children at the swimming pool?
Yes, there were.
There were a lot of fish in the river."
11,Wizard-Lesson 19-19.wma,"Conversation  Lesson 19
-separator-
What did he save?
He saved all his money for his trip.
Did he save all his money for his trip?
Yes, he did.
-separator-
What did you do?
I ran all the way to school.
Did you run all the way to school?
Yes, I did.
-separator-
What did she do with her car?
She left her car on the street.
Did she leave her car on the street?
Yes, she did.
-separator-
How did he send the package?
He sent the package by express mail.
Did he send it by express mail?
Yes, he did.
-separator-
Where did they watch the movie?
They watched the movie at the mall.
Did they watch the movie at the mall?
Yes, they did.
-separator-
These sunglasses are from the same store.
Did they watch the movie at the mall?
Yes, they did.
These sunglasses are mine.
Are these sunglasses yours?
Yes, they are.
-separator-
This pen is hers.
Is this pen hers?
Yes, it is.
-separator-
This CD is his.
Is this CD his?
Yes, it is.
-separator-
This wallet is mine.
Is this wallet yours?
Yes, it is.
-separator-
This purse isn't mine.
Isn't this purse yours?
No, it isn't."
12,Wizard-Lesson 2-02.wma,"Wizard Book 3 Conversation
Lesson 2
-separator-
Where did she put the book?
She put the book on the nightstand.
No she didn't, she didn't put the book on the nightstand.
-separator-
When did the boys play soccer?
They played soccer in the rain.
No, they didn't. They didn't play soccer in the rain.
-separator-
When did the housekeeper do the laundry?
She did the laundry yesterday.
No, she didn't. She didn't do the laundry yesterday.
-separator-
Where did you put your school bag?
I put my school bag on the bed.
No, you didn't. You didn't put your school bag on the bed.
-separator-
Who paid for your dinner?
My parents paid for my dinner.
No, they didn't. Your parents didn't pay for your dinner.
-separator-
Who is doing the dishes right now?
The housekeeper is doing the dishes right now.
No she isn't, she is not doing the dishes right now.
-separator-
Who is putting his shoes on?
My son is putting his shoes on.
No, he isn't. He is not putting his shoes on.
-separator-
Who is having a hard time accessing the internet?
I'm having a hard time accessing the Internet.
No, you are not. You are not having a hard time accessing the Internet.
-separator-
Who ate French fries at the American restaurant?
My boys ate French fries at the American restaurant.
No, they didn't. They didn't eat French fries at the American restaurant.
-separator-
Who is paying for your English course?
My father is paying for my English course.
No, he isn't. Your father isn't paying for your English course."
13,Wizard-Lesson 20-20.wma,"Conversation, Lesson 20
-separator-
He always goes jogging with his dog.
I didn't know that he always went jogging with his dog.
Yes he does. He goes jogging every morning.
-separator-
She answers the telephone in Spanish and English.
I didn't know that she answered the telephone in Spanish and English.
Yes, she does. She speaks both languages.
-separator-
American children love peanut butter.
I didn't know that they loved peanut butter.
Yes, they do. They love peanut butter and jelly sandwiches.
Some kids take a peanut butter and jelly sandwich to school.
I didn't  know that they loved it so much.
Yes they do. They take it to school for lunch.
-separator-
I sent the pictures by email.
I didn't know that you sent them by email.
Yes, I did. I sent them by email.
-separator-
I don't know if they came. Did they come or they didn't come?
Unfortunately, they didn't come.
-separator-
I don't know if they ran. Did they run or they didn't run?
Unfortunately, they didn't run.
-separator-
I don't know if she called us. Did she call us or she didn't call us?
Unfortunately, she didn't cause.
-separator-
I don't know if he saw it. Did he see it or he didn't see it?
Unfortunately, he didn't see it.
-separator-
I don't know if they went. Unfortunately, he didn't see it.
I don't know if they went. Did they go or they didn't go?
Unfortunately, they didn't go."
14,Wizard-Lesson 21-21.wma,"Conversation  Lesson 21
-separator-
I don't know if she can stop by the cybercafe today.
Can she or she can't stop by the cybercafe today?
I think she can.
-separator-
I don't know if he can walk with us.
Can he or he can't walk with us?
I think he can.
-separator-
I don't know if she can make a dressing for the salad.
Can she or she can't make a dressing for the salad?
I think she can.
-separator-
I don't know if the maid can clean the house tomorrow morning.
Can she or she can't clean the house tomorrow morning?
I think she can't.
-separator-
I don't know if they can call us tonight.
Can they or they can't call us tonight?
I think they can.
-separator-
Could they go to the dance together?
Don't you think they could?
I think they could.
-separator-
Could she drive them to work?
Don't you think she could?
I think she could.
-separator-
Could the meeting start at 8 o'clock?
Don't you think it could start at 8?
I think it could.
-separator-
Could they lock the house for us?
Don't you think they could?
I think they could."
15,Wizard-Lesson 22-22.wma,"Lesson 22
-separator-
She can help us. 
When can she help us? 
She can help us at any time. 
-separator-
He can access the internet. 
Where can he access the internet? 
He can access it from the school computer. 
-separator-
They can pay for our lunch. 
When can they pay for our lunch? 
They can pay for it tomorrow. 
-separator-
The doctor can see her. 
When can the doctor see her? 
He can see her next week. 
-separator-
She can take our pictures. 
When can she take our pictures? 
She can take them right now. 
-separator-
We could use their car. 
When could we use it? 
I think we could use it today. 
-separator-
They could take the children to school. 
How could they take them? 
They could take them by car. 
They could live with us. 
How could they live with us? 
They could live with us in the summer. 
-separator-
It could take months. 
How could it take months? 
It could take months if it rains. 
It could work. 
How could it work? 
It could work if we had the right person."
16,Wizard-Lesson 23-23.wma,"Conversation Lesson 23
-separator-
Should we go now or later?
I think we should go now.
I think we shouldn't go.
-separator-
Should we watch the movie tonight?
I think we should.
I don't think we should.
-separator-
Should he bring his wife to the cinema?
-separator-
Should I check my email now?
I think you should.
I don't think you should.
-separator-
Should they wait for us at the airport?
I don't think you should.
I think you should.
I don't think you should.
I think you should.
I think you should.
I don't think you should.
-separator-
Should they wait for us at the airport?
I think they should.
I think they shouldn't.
-separator-
Should the secretary take notes at the meeting?
In my opinion, she should.
I don't know why, but I think she shouldn't.
-separator-
Should he arrive at the meeting early?
I think he should.
In my opinion, he must arrive at the meeting early.
-separator-
Should they work overtime?
I think they shouldn't.
In my opinion, they should.
He must work overtime if he wants to finish all his work.
I think he really should work overtime.
In my opinion, he should not work overtime.
-separator-
Should the manager be fired?
I think he should not be fired.
In my opinion, he should be fired."
17,Wizard-Lesson 24-24.wma,"Conversation  Lesson 24
-separator-
He should sleep on the couch.
Why should he sleep on the couch?
Because that is the best place we have for him.
-separator-
You should see him tomorrow.
Why should I see him tomorrow?
Because tomorrow is the best day for him.
Why should I see him tomorrow?
Because tomorrow is the best day for him.
Why should I see him tomorrow?
Because tomorrow is the best day for him.
Why should I see him tomorrow.
Why should I see him tomorrow?
Because tomorrow is the best day for you to see him.
-separator-
You should take pictures of him now.
Why should I take pictures of him now? Because this is the best time for you to take these pictures.
-separator-
She should go to the supermarket today.
Why should she go to the supermarket today?
Because today is the best day of the week to go to the supermarket.
-separator-
You should save some cake is delicious.
Life should be fun.
In your opinion, why should life be fun?
Because life is too short.
In my opinion, she should be fired.
Why should she be fired?
Because what she did is wrong.
-separator-
You must stop at the red light.
Why must I stop at the red light?
Because that is the law.
-separator-
She mustn't drive yet.
Why mustn't she drive yet?
Because she doesn't have her driver's license yet.
-separator-
They must pay their electricity bill online today?
Because today is the last day for the bill to be paid."
18,Wizard-Lesson 25-25.wma,"Conversation Lesson 25
-separator-
She will talk to the store clerk. I'm sure she will talk to him.
If she won't talk to him, who will?
-separator-
He will do a good job cleaning the attic. I'm sure he will do a good job.
If he won't do a good job, who will?
-separator-
They will arrive on time for the meeting. I'm sure they will arrive on time.
If they won't arrive on time, who will?
-separator-
Stephanie will cook a delicious meal. I am sure she will.
If she won't cook a delicious meal, who will?
-separator-
She will send us lots of emails from China. I am sure she will send us emails.
If she won't send us the emails, who will?
-separator-
I will send you some emails too. I am sure you will. Because if you won't send me any emails, who will?
-separator-
She will bring her laptop to the meeting. I am sure she will bring it. Because if she won't bring her laptop, who will?
-separator-
He will finish first. I am sure he will. Because if he won't finish first, who will?
-separator-
He will give us an answer by tomorrow. I am sure he will give us an answer. Because if he won't give us an answer, who will?"
19,Wizard-Lesson 26-26.wma,"Conversation  Lesson 26
-separator-
When will she put the papers in the printer?
I hope she will do it today.
I do too. 
-separator-
When will the doctor give him the new medicine?
We hope he will give it to him tonight.
We do too, because he really needs the medicine.
-separator-
When will I see you again?
I hope we will see each other soon.
I do too, because I love you so much.
-separator-
When will we go out for dinner again?
I hope we will go out again soon.
I do too, because we had a lot of fun.
-separator-
When will they pay us?
I hope they will pay us this week.
I do too, because we really need the money.
-separator-
When will they call us again?
I hope they will call us this morning.
I do too, because we have many questions.
-separator-
When will the plane take off?
I hope it will take off soon.
I do too because we are late for the meeting.
-separator-
When will it start?
I hope it will start now.
I do too, because soon we will have to go.
-separator-
When will the meeting finish?
I hope it will finish before 10.
I do too, because I need to take the bus at 10.
-separator-
When will we meet again?
I hope we will meet again soon.
I do too, because we had a"
20,Wizard-Lesson 27-27.wma,"Conversation Lesson 27
-separator-
She would like to go to the party with us. 
Why don't we take her? I think we should take her with us. 
-separator-
He would like to take us to the airport. 
I think we should go with him. That is a good idea. 
-separator-
My dad would like to drive you to school. 
Would you like to go with us? Yes, I would. I would love to go with you. 
-separator-
He would like to go on a date with you. 
Why should I go on a date with him? Because he's a very smart young man. 
-separator-
She would like to have your email. 
Why should I give her my email? Because she wants to send some messages to you. 
-separator-
They would like to have your cell number. 
Why should I give them my cell number? I don't think you should give them your cell number. 
-separator-
He would love to go to a dance with you. 
Why should I go with him to a dance? He's the most handsome boy in class. 
-separator-
He would like to invite us for dinner. 
Do you think we should have dinner with him? I think we should. 
-separator-
They would like to watch our kids for us. 
Do you think we should leave our kids with them? I think we should. 
-separator-
She would like to get engaged to him. 
Do you think they should get engaged? I think they should."
21,Wizard-Lesson 28-28.wma,"WIZARD Book 3 Conversation
Lesson 28
-separator-
The manager would like to see him now.
Why does the manager want to see him?
I don't know why he wants to see him.
-separator-
They would love to live in the basement.
Why would they love to live in the basement?
Why would they love to live in the basement?
Why would they love to live in the basement?
Why would they love to live in the basement?
Why would they love to live in the basement.
Why would they love to live in the basement?
Because they don't have enough money for a large apartment.
-separator-
He will be 15 years old this week.
How do you know he will be 15 this week?
Because this week is his birthday.
-separator-
They will invite you to the party.
How do you know they will invite me?
Because I saw your invitation.
-separator-
He would love to talk with you.
I don't know if I should talk to him.
Why shouldn't you?
-separator-
I would like to buy a new digital camera.
Where do you think I should go to find a good camera?
You should shop on the internet.
Where do you think I should go to find a good camera?
You should shop on the internet.
-separator-
She would like to go on a date with you.
How do you know that?
Because she told me so.
-separator-
They would like to take a walk with us.
Why don't we take them with us?
I think that is a good idea.
-separator-
They would like to use our camera to take some pictures.
When will they need it?
I think it will be for the birthday party.
-separator-
I would like to invite my friends to a soccer game.
When will the game be?
I think it will be this weekend."
22,Wizard-Lesson 29-29.wma,"Conversation, Lesson 29
-separator-
What are you going to do this weekend?
We're going to have spicy food for dinner at a Mexican restaurant.
Can I go with you?  I think it's going to snow.
I don't think it's going to snow today.
But it will snow tomorrow.
- separator -
Where are you going to check your emails?
I am going to use my friend's computer at his house.
Do you think I can go with you? 
When is he going to travel?
He will travel next year.
Do you already know where he will go?
- separator -
I'm going to see her tonight.
Where will you meet her?
I will meet her at the mall.
She is not going to answer the phone.
Why won't she answer the phone?
She doesn't want to talk to anybody.
- separator -
I think it's going to be a beautiful day outside.
Where would you like to go?
I would love to go for a walk in the park.
They're going to use the car tonight.
Where are they going?
They are going downtown.
He's going to leave in the morning.
Do you know when he will come back?
I really don't know.
- separator -
I'm going to ask the doctor about his health.
What are you going to ask the doctor?
I will ask him if he can travel or not."
23,Wizard-Lesson 3-03.wma,"Conversation
Lesson 3
-separator-
What did they do?
They waited for the rain to stop.
No, they didn't. They didn't wait for the rain to stop.
Yes, they did. They waited for the rain to stop.
-separator-
What did you learn?
I learned how to swim.
I learned how to swim.
I learned how to swim.
I learned how to swim. for the rain to stop.
-separator-
What did you learn?
I learned how to speak Spanish on the Internet.
No, you didn't. You didn't learn how to speak Spanish on the Internet.
Yes, I did. I learned how to speak Spanish on the internet.
-separator-
What did he do?
He sang Christmas songs at the party.
No, he didn't. He didn't sing Christmas songs at the party.
Yes, he did. He sang Christmas songs at the party.
-separator-
What did she do?
She waited for her friends at school.
No, she didn't. She didn't wait for her friends at school.
Yes, she did. She waited for her friends at school.
-separator-
What did she learn in 1999?
She learned to play the violin at school in 1999.
No, she didn't. She didn't learn to play the violin at school in 1999.
No, she didn't. She didn't learn to play the violin at school in 1999.
Yes, she did. She learned to play the violin at school in 1999.
-separator-
Who is very old?
My grandfather is very old.
No he is not, your grandfather is not very old.
Yes he is, my grandfather is very old.
-separator-
How old is he?
He is 21 years old.
No, he's not. He isn't 21 years old.
-separator-
How old is she?
She's 18 years old.
No, she isn't. She isn't 18 years old.
Yes, she is. She is 18 years old.
-separator-
How old are you?
I'm 35 years old.
-separator-
How old are you?
I'm 31 years old.
-separator-
How old are you?
I'm 31 years old.
-separator-
How old are you?
I'm 35 years old.
No, you're not. You are not 35 years old.
Yes, I am. I am 35 years old.
-separator-
How old are the children?
They are four years old.
No they aren't, they are not four years old.
Yes they are, the children are four years old."
24,Wizard-Lesson 30-30.wma,"Conversation Lesson 30
-separator-
She is going to use the phone in the office.
Who will she call?
I think she will call her dentist.
-separator-
They would like to look at the pictures on the website.
Should I show them these pictures on the website.
No problem, you can show them.
-separator-
He's going to wait for us.
Where should we meet him?
We should meet him in the restaurant.
-separator-
The doctor is going to see him again.
Why is he going to see him again?
He wants to be sure that he is fine.
-separator-
We're going to take a walk in the park.
Would you like to go with us?
I would love to.
-separator-
He's going to invite her to the school dance.
When will the dance be?
It will be this weekend.
-separator-
She is going on a date with my cousin.
Where will they go?
I still don't know where they will go.
-separator-
They're going to get engaged tonight.
Is anybody invited?
They didn't invite anybody.
-separator-
They are going to have a lot of fun.
What are they going to do?
They are going to dance all night long.
-separator-
You will love our next book.
Why do you think so?
Because it is full of surprises.
Why do you think so?
Because it is full of surprises."
25,Wizard-Lesson 4-04.wma,"Conversation  Lesson 4
-separator-
What did Sally play?
She played a song on her guitar.
Did she play a song on her guitar?
Yes, she did.
-separator-
How long did they wait for?
They waited for one hour for the movie to start.
Did they wait for an hour for the movie to start?
Yes, they did.
-separator-
When did your sister learn to speak Chinese?
She learned to speak Chinese in 2003?
Yes, she did.
-separator-
How much did the boss pay for the bill at the restaurant?
He paid $100 for the bill at the restaurant.
How much did the boss pay for the bill at the restaurant? He paid $100 for the bill at the restaurant? He paid a hundred dollars for the bill at the restaurant.
Did he pay a hundred dollars for the bill at the restaurant?
Yes, he did.
-separator-
Where did the children sing?
They sang in the play.
Did the children sing?
They sang in the play.
Did the children sing in the play?
Yes, they did.
-separator-
How old is your grandmother?
She is 87 years old.
Is your grandmother 87 years old?
Yes, she is.
-separator-
How old is your brother?
He is 5 years old.
Is your brother 5 years old?
Yes, he is.
-separator-
How old is the teacher?
She is 27 years old.
Is the teacher 27 years old?
Yes, she is.
-separator-
How old are you?
I am 19 years old.
Are you 19 years old?
Yes, I am.
-separator-
How old is your desktop computer?
My desktop computer is 4 years old.
Is your desktop computer 4 years old?
Yes, it is."
26,Wizard-Lesson 5-05.wma,"Conversation  Lesson 5
-separator-
He took classes at the university.
Yes, he did. He took classes last semester.
No, he didn't. He didn't take classes at the university.
-separator-
He washed all his shirts.
Yes, he did. He washed them all yesterday.
No, he didn't. He didn't wash all his shirts.
-separator-
She talked to the teacher.
Yes, she did. She talked to the teacher after class.
No, she didn't. She didn't talk to the teacher.
-separator-
He bought ice cream.
Yes, he did. He bought ice cream for dessert.
No, he didn't. He didn't buy ice cream.
-separator-
She used the laptop yesterday.
Yes, she did. She used a laptop to do the homework.
No, she didn't. She didn't use the laptop.
-separator-
He was working in the garden.
Yes, he was. He was working in the garden all afternoon.
No, he wasn't. He wasn't working in the garden.
-separator-
I was writing emails to the foreign students.
Yes, I was. I was writing emails to them about the test.
No, I wasn't. I wasn't writing emails to the foreign students.
-separator-
He was washing his car yesterday.
Yes, he was. He was washing his car at his house.
No, he wasn't. He wasn't washing his car.
-separator-
I was using my reading glasses.
Yes, I was. I was using my reading glasses to read the paper.
No, I wasn't. I wasn't using my reading glasses.
-separator-
She was eating ice cream.
Yes, she was. She was eating vanilla ice cream.
No, she wasn't. She wasn't eating ice cream."
27,Wizard-Lesson 6-06.wma,"WIZARD Book 3 Conversation
Lesson six
-separator-
Did she take an art course in college or she didn't?
I think she did.
-separator-
Did he work all day or he didn't?
I don't think he did.
-separator-
Did she finish her work or she didn't?
I don't think she did.
-separator-
Did they sing songs or they didn't?
I think they did.
-separator-
Did he wait for his aunt or he didn't?
I think he did.
-separator-
When was she washing it?
She was washing it in the morning.
-separator-
When was she cooking it?
She was cooking it for lunch.
-separator-
When was he studying?
He was studying in the evening.
-separator-
When was she using the computer?
She was using the computer after the meeting.
-separator-
When was she talking to the store manager?
She was talking to him before the meeting."
28,Wizard-Lesson 7-07.wma,"WIZARD Book 3 Conversation
Lesson 7
-separator-
They took a trip to Europe in 1998.
How did they travel?
They traveled by plane.
-separator-
I traveled to Switzerland last summer.
How did you travel to Switzerland?
I traveled by train.
-separator-
Jennifer brought many notebooks to class.
How many notebooks did she bring with her?
She brought six notebooks with her.
-separator-
I thought that she was going to the party.
Why did you think so?
Because I heard them talking about it.
-separator-
Your mother left a message for you.
Where is the message?
I saw it on the refrigerator.
-separator-
I saw her doing her English lesson.
Where was she doing her English lesson?
She was doing it in the library.
-separator-
He is thinking about buying an apartment.
Who is thinking about buying an apartment?
Tom is.
-separator-
She is traveling on a business trip.
Who is traveling?
Michelle is.
-separator-
They are leaving tomorrow.
Who is leaving?
Bill and Sam are.
-separator-
She is bringing a laptop to class.
Who is bringing a laptop?
Julie is."
